ablation_factor,setting,category,representation_source,anomaly_head,aug_strength,layer_name,coreset_ratio,feature_dim,memory_bank_n,memory_bank_mb,checkpoint_size_mb,fit_sec,peak_gpu_mem_mb,img_roc_auc,img_pr_auc,px_roc_auc,sec_per_img,n_eval_images
embedding_layer,layer3,leather,simclr,patchcore,strong,layer3,0.05,256.0,2166.0,2.115234375,42.71171855926514,5.701556921005249,368.7978515625,0.9225543478260869,0.9773637288298453,0.9830859202197701,0.03028269544724495,124.0
embedding_layer,layer3,metal_nut,simclr,patchcore,strong,layer3,0.05,256.0,1940.0,1.89453125,42.71171855926514,2.7467730045318604,368.7978515625,0.7072336265884653,0.9211292501529138,0.9013924042789246,0.01893210203751274,115.0
embedding_layer,layer3,pill,simclr,patchcore,strong,layer3,0.05,256.0,2352.0,2.296875,42.71171855926514,4.3913352489471436,368.7978515625,0.7261320240043644,0.9295250953188952,0.8861531379948779,0.02137284078997766,167.0
embedding_layer,layer3,screw,simclr,patchcore,strong,layer3,0.05,256.0,2822.0,2.755859375,42.71171855926514,4.177016019821167,368.7978515625,0.582496413199426,0.7958969041872599,0.9213209153710252,0.01790827065706253,160.0
embedding_layer,layer3,tile,simclr,patchcore,strong,layer3,0.05,256.0,2029.0,1.9814453125,42.71171855926514,4.308688402175903,368.7978515625,0.8098845598845599,0.9253091174848995,0.6520256195962018,0.025764467369796883,117.0
embedding_layer,layer3,toothbrush,simclr,patchcore,strong,layer3,0.05,256.0,529.0,0.5166015625,42.71171855926514,1.84763503074646,361.6728515625,0.7138888888888888,0.8796554587157579,0.9208308743165137,0.03685623691195533,42.0
embedding_layer,layer3,transistor,simclr,patchcore,strong,layer3,0.05,256.0,1882.0,1.837890625,42.71171855926514,5.473015308380127,368.7978515625,0.7733333333333333,0.74393698797942,0.8651509954969622,0.03131317377090454,100.0
embedding_layer,layer3,wood,simclr,patchcore,strong,layer3,0.05,256.0,2176.0,2.125,42.71171855926514,6.671857595443726,368.7978515625,0.8649122807017544,0.9552360274227586,0.7816157852185667,0.03683251670644253,79.0
embedding_layer,layer3,zipper,simclr,patchcore,strong,layer3,0.05,256.0,2117.0,2.0673828125,42.71171855926514,3.1669561862945557,368.7978515625,0.7896533613445378,0.9012642872667469,0.9365618768696531,0.01778854913269447,151.0
embedding_layer,layer4,bottle,simclr,patchcore,strong,layer4,0.05,512.0,461.0,0.900390625,42.71171855926514,3.4081950187683105,365.6923828125,0.9579365079365079,0.9867018708151483,0.9120847300058597,0.0231874908309385,83.0
embedding_layer,layer4,cable,simclr,patchcore,strong,layer4,0.05,512.0,495.0,0.966796875,42.71171855926514,5.680611610412598,365.6923828125,0.7020239880059971,0.8149806111688851,0.8605931254204461,0.031183609962463377,150.0
embedding_layer,layer4,capsule,simclr,patchcore,strong,layer4,0.05,512.0,483.0,0.943359375,42.71171855926514,5.338315725326538,365.6923828125,0.5783805345033906,0.8495043475447162,0.9154358181695406,0.03148225040146799,132.0
embedding_layer,layer4,carpet,simclr,patchcore,strong,layer4,0.05,512.0,617.0,1.205078125,42.71171855926514,6.659334659576416,365.6923828125,0.5890850722311396,0.8022490885939964,0.83928722572014,0.032145033534775436,117.0
embedding_layer,layer4,grid,simclr,patchcore,strong,layer4,0.05,512.0,583.0,1.138671875,42.71171855926514,3.441655397415161,365.6923828125,0.504594820384294,0.7238429202327376,0.6075544223381312,0.01922456117776724,78.0
embedding_layer,layer4,hazelnut,simclr,patchcore,strong,layer4,0.05,512.0,862.0,1.68359375,42.71171855926514,9.686920404434204,365.6923828125,0.7910714285714286,0.8879176930128203,0.9578980218622674,0.031887297196821734,110.0
embedding_layer,layer4,leather,simclr,patchcore,strong,layer4,0.05,512.0,541.0,1.056640625,42.71171855926514,5.48070502281189,365.6923828125,0.8675271739130435,0.95788894598866,0.9456473991665466,0.02873423022608603,124.0
embedding_layer,layer4,metal_nut,simclr,patchcore,strong,layer4,0.05,512.0,485.0,0.947265625,42.71171855926514,2.7235212326049805,365.6923828125,0.563049853372434,0.8523046519084454,0.7760481359921411,0.017586942341016685,115.0
embedding_layer,layer4,pill,simclr,patchcore,strong,layer4,0.05,512.0,588.0,1.1484375,42.71171855926514,4.445004224777222,365.6923828125,0.7013093289689035,0.916140491898868,0.8640542284012087,0.020796527405698855,167.0
embedding_layer,layer4,screw,simclr,patchcore,strong,layer4,0.05,512.0,706.0,1.37890625,42.71171855926514,4.316560506820679,365.6923828125,0.42672678827628613,0.7072949634131653,0.8415212414049937,0.016063687205314637,160.0
embedding_layer,layer4,tile,simclr,patchcore,strong,layer4,0.05,512.0,507.0,0.990234375,42.71171855926514,4.2605040073394775,365.6923828125,0.7564935064935064,0.89283423293278,0.7283390532944233,0.024668936036590837,117.0
