target_name,method,category,policy,quantile,threshold,precision,recall,f1,fpr
best_overall,imagenet_padim,wood,low_false_alarm,0.995,5397.067773437498,0.9583333333333334,0.7666666666666667,0.8518518518518519,0.10526315789473684
best_overall,imagenet_padim,zipper,high_recall,0.95,1665.2557434082023,0.9655172413793104,0.7058823529411765,0.8155339805825242,0.09375
best_overall,imagenet_padim,zipper,balanced,0.98,1766.5462133789063,0.9651162790697675,0.6974789915966386,0.8097560975609757,0.09375
best_overall,imagenet_padim,zipper,low_false_alarm,0.995,1790.7440972900392,0.9651162790697675,0.6974789915966386,0.8097560975609757,0.09375
best_ssl,simclr_mild_padim,bottle,high_recall,0.95,5883.97119140625,0.9833333333333333,0.9365079365079365,0.959349593495935,0.05
best_ssl,simclr_mild_padim,bottle,balanced,0.98,6256.658203125001,0.9833333333333333,0.9365079365079365,0.959349593495935,0.05
best_ssl,simclr_mild_padim,bottle,low_false_alarm,0.995,6443.001708984374,0.9833333333333333,0.9365079365079365,0.959349593495935,0.05
best_ssl,simclr_mild_padim,cable,high_recall,0.95,6373.0679931640625,0.8666666666666667,0.2826086956521739,0.4262295081967213,0.06896551724137931
best_ssl,simclr_mild_padim,cable,balanced,0.98,16652.162626953097,1.0,0.09782608695652174,0.1782178217821782,0.0
best_ssl,simclr_mild_padim,cable,low_false_alarm,0.995,22228.002082519524,1.0,0.07608695652173914,0.1414141414141414,0.0
best_ssl,simclr_mild_padim,capsule,high_recall,0.95,4468.385131835937,0.967741935483871,0.27522935779816515,0.42857142857142855,0.043478260869565216
best_ssl,simclr_mild_padim,capsule,balanced,0.98,7824.742851562491,0.96,0.22018348623853212,0.3582089552238806,0.043478260869565216
best_ssl,simclr_mild_padim,capsule,low_false_alarm,0.995,9626.824628906248,0.9583333333333334,0.21100917431192662,0.3458646616541353,0.043478260869565216
best_ssl,simclr_mild_padim,carpet,high_recall,0.95,2844.234277343749,0.8636363636363636,0.21348314606741572,0.34234234234234234,0.10714285714285714
best_ssl,simclr_mild_padim,carpet,balanced,0.98,4658.22868652344,1.0,0.16853932584269662,0.28846153846153844,0.0
best_ssl,simclr_mild_padim,carpet,low_false_alarm,0.995,6067.422528076167,1.0,0.1348314606741573,0.2376237623762376,0.0
best_ssl,simclr_mild_padim,grid,high_recall,0.95,1801.0789489746094,1.0,0.05263157894736842,0.1,0.0
best_ssl,simclr_mild_padim,grid,balanced,0.98,3860.391357421875,1.0,0.03508771929824561,0.06779661016949153,0.0
best_ssl,simclr_mild_padim,grid,low_false_alarm,0.995,5393.297424316406,1.0,0.017543859649122806,0.034482758620689655,0.0
best_ssl,simclr_mild_padim,hazelnut,high_recall,0.95,5372.748876953126,0.96875,0.44285714285714284,0.6078431372549019,0.025
best_ssl,simclr_mild_padim,hazelnut,balanced,0.98,5475.75736328125,0.967741935483871,0.42857142857142855,0.594059405940594,0.025
