category,method,run_mode,representation_source,anomaly_head,aug_strength,backbone_name,layers,img_size,coreset_ratio,img_roc_auc,img_pr_auc,px_roc_auc,fit_sec,sec_per_img,n_eval_images,feature_dim,memory_bank_n,memory_bank_mb,checkpoint_size_mb,peak_gpu_mem_mb
cable,simclr_mild_padim,full,simclr,padim,mild,resnet18_imagenet,layer3,224,,0.7076461769115441,0.8019575721770004,0.8874393254616987,5.936192989349365,0.03164724508921305,150.0,100.0,196.0,7.55157470703125,42.7114782333374,322.041015625
cable,simclr_strong_padim,full,simclr,padim,strong,resnet18_imagenet,layer3,224,,0.7717391304347826,0.8548169963522896,0.8787543380416923,5.967517614364624,0.03182652155558268,150.0,100.0,196.0,7.55157470703125,42.71171855926514,322.041015625
capsule,simclr_mild_patchcore,full,simclr,patchcore,mild,resnet18_imagenet,layer3,224,0.05,0.6126844834463503,0.8703889190428251,0.9535288196902987,5.373009204864502,0.031776197028882576,132.0,256.0,1931.0,1.8857421875,42.7114782333374,322.041015625
capsule,simclr_strong_patchcore,full,simclr,patchcore,strong,resnet18_imagenet,layer3,224,0.05,0.6094934184284005,0.8711350119870208,0.9515863083358861,5.4301629066467285,0.03153072523348259,132.0,256.0,1931.0,1.8857421875,42.71171855926514,322.041015625
capsule,simclr_mild_padim,full,simclr,padim,mild,resnet18_imagenet,layer3,224,,0.733147187873953,0.9252465163555211,0.9288109820542826,5.709970712661743,0.030804141001267868,132.0,100.0,196.0,7.55157470703125,42.7114782333374,322.041015625
capsule,simclr_strong_padim,full,simclr,padim,strong,resnet18_imagenet,layer3,224,,0.7032309533306742,0.9140465755063762,0.9230692482632777,5.722970724105835,0.031915948246464584,132.0,100.0,196.0,7.55157470703125,42.71171855926514,322.041015625
carpet,simclr_mild_patchcore,full,simclr,patchcore,mild,resnet18_imagenet,layer3,224,0.05,0.6296147672552167,0.8615204909158556,0.722611234907961,6.7918195724487305,0.03290138896713909,117.0,256.0,2470.0,2.412109375,42.7114782333374,322.041015625
carpet,simclr_strong_patchcore,full,simclr,patchcore,strong,resnet18_imagenet,layer3,224,0.05,0.67776886035313,0.8805246764649771,0.9022542331939215,6.642554044723511,0.03373025217626849,117.0,256.0,2470.0,2.412109375,42.71171855926514,322.041015625
carpet,simclr_mild_padim,full,simclr,padim,mild,resnet18_imagenet,layer3,224,,0.6103531300160514,0.8388483824976554,0.7616290731680508,6.901355504989624,0.0325774657420623,117.0,100.0,196.0,7.55157470703125,42.7114782333374,322.041015625
carpet,simclr_strong_padim,full,simclr,padim,strong,resnet18_imagenet,layer3,224,,0.6055377207062601,0.8321689639811355,0.8807378290865088,6.900841236114502,0.03264450619363377,117.0,100.0,196.0,7.55157470703125,42.71171855926514,322.041015625
grid,simclr_mild_patchcore,full,simclr,patchcore,mild,resnet18_imagenet,layer3,224,0.05,0.6466165413533835,0.8201947556648139,0.6725729071944729,3.9157612323760986,0.023123680016933344,78.0,256.0,2332.0,2.27734375,42.7114782333374,322.041015625
grid,simclr_strong_patchcore,full,simclr,patchcore,strong,resnet18_imagenet,layer3,224,0.05,0.6532999164578113,0.8417838475520025,0.6944225826184858,3.47792911529541,0.020756742893121183,78.0,256.0,2332.0,2.27734375,42.71171855926514,322.041015625
grid,simclr_mild_padim,full,simclr,padim,mild,resnet18_imagenet,layer3,224,,0.38596491228070173,0.654755129869288,0.6311727677873753,3.7318644523620605,0.019936408752050154,78.0,100.0,196.0,7.55157470703125,42.7114782333374,322.041015625
grid,simclr_strong_padim,full,simclr,padim,strong,resnet18_imagenet,layer3,224,,0.5296574770258982,0.7367071243746839,0.6552757148412076,3.7904107570648193,0.020036211380591758,78.0,100.0,196.0,7.55157470703125,42.71171855926514,322.041015625
hazelnut,simclr_mild_patchcore,full,simclr,patchcore,mild,resnet18_imagenet,layer3,224,0.05,0.9199999999999999,0.9557935086187233,0.9760868971696366,10.221649169921875,0.03428457433527166,110.0,256.0,3450.0,3.369140625,42.7114782333374,322.041015625
hazelnut,simclr_strong_patchcore,full,simclr,patchcore,strong,resnet18_imagenet,layer3,224,0.05,0.8860714285714286,0.940378919539026,0.9777318607841669,9.961091995239258,0.03512119596654718,110.0,256.0,3450.0,3.369140625,42.71171855926514,322.041015625
hazelnut,simclr_mild_padim,full,simclr,padim,mild,resnet18_imagenet,layer3,224,,0.8014285714285714,0.8797117716068101,0.9477159216312008,10.054996967315674,0.03227816495028409,110.0,100.0,196.0,7.55157470703125,42.7114782333374,322.041015625
hazelnut,simclr_strong_padim,full,simclr,padim,strong,resnet18_imagenet,layer3,224,,0.7410714285714285,0.7936176209387699,0.9466121863180319,10.147979021072388,0.032128737189553,110.0,100.0,196.0,7.55157470703125,42.71171855926514,322.041015625
leather,simclr_mild_patchcore,full,simclr,patchcore,mild,resnet18_imagenet,layer3,224,0.05,0.8845108695652174,0.9620716320618892,0.9715271496297668,5.746811866760254,0.030375221083241123,124.0,256.0,2166.0,2.115234375,42.7114782333374,322.041015625
leather,simclr_strong_patchcore,full,simclr,patchcore,strong,resnet18_imagenet,layer3,224,0.05,0.9245923913043478,0.9780434792069451,0.9834457760875724,5.530988931655884,0.028631473741223736,124.0,256.0,2166.0,2.115234375,42.71171855926514,322.041015625
leather,simclr_mild_padim,full,simclr,padim,mild,resnet18_imagenet,layer3,224,,0.923233695652174,0.9688263657249873,0.9752311552477199,5.70661997795105,0.02836175887815414,124.0,100.0,196.0,7.55157470703125,42.7114782333374,322.041015625
leather,simclr_strong_padim,full,simclr,padim,strong,resnet18_imagenet,layer3,224,,0.9551630434782609,0.9856061578021487,0.981223362139388,5.699124574661255,0.028648334164773265,124.0,100.0,196.0,7.55157470703125,42.71171855926514,322.041015625
metal_nut,simclr_mild_patchcore,full,simclr,patchcore,mild,resnet18_imagenet,layer3,224,0.05,0.7282502443792767,0.9190661469355641,0.8635641410145987,2.8103859424591064,0.018070393023283584,115.0,256.0,1940.0,1.89453125,42.7114782333374,322.041015625
metal_nut,simclr_strong_patchcore,full,simclr,patchcore,strong,resnet18_imagenet,layer3,224,0.05,0.6930596285434995,0.9118888590088501,0.9047800906253451,2.6940841674804688,0.018522496845411216,115.0,256.0,1940.0,1.89453125,42.71171855926514,322.041015625
metal_nut,simclr_mild_padim,full,simclr,padim,mild,resnet18_imagenet,layer3,224,,0.7952101661779081,0.942905283329372,0.9049111514346776,2.9120750427246094,0.017638971494591753,115.0,100.0,196.0,7.55157470703125,42.7114782333374,322.041015625
metal_nut,simclr_strong_padim,full,simclr,padim,strong,resnet18_imagenet,layer3,224,,0.7634408602150538,0.9347480468653356,0.9069449808062297,2.970158338546753,0.01826106361720873,115.0,100.0,196.0,7.55157470703125,42.71171855926514,322.041015625
pill,simclr_mild_patchcore,full,simclr,patchcore,mild,resnet18_imagenet,layer3,224,0.05,0.7089470812875068,0.926374111985919,0.8841837706497244,4.6034181118011475,0.020866815201536625,167.0,256.0,2352.0,2.296875,42.7114782333374,322.041015625
pill,simclr_strong_patchcore,full,simclr,patchcore,strong,resnet18_imagenet,layer3,224,0.05,0.6985815602836879,0.9163157926390928,0.8859602564925548,4.415029525756836,0.02146405374218604,167.0,256.0,2352.0,2.296875,42.71171855926514,322.041015625
pill,simclr_mild_padim,full,simclr,padim,mild,resnet18_imagenet,layer3,224,,0.7866884888161485,0.9523012331551365,0.821138449678821,4.6924285888671875,0.02074223078653484,167.0,100.0,196.0,7.55157470703125,42.7114782333374,322.041015625
pill,simclr_strong_padim,full,simclr,padim,strong,resnet18_imagenet,layer3,224,,0.6980360065466448,0.924384912749506,0.8221269104617972,4.598379850387573,0.020414008351857076,167.0,100.0,196.0,7.55157470703125,42.71171855926514,322.041015625
screw,simclr_mild_patchcore,full,simclr,patchcore,mild,resnet18_imagenet,layer3,224,0.05,0.6421397827423653,0.815981892266237,0.9179373097203978,4.3216423988342285,0.017730800807476042,160.0,256.0,2822.0,2.755859375,42.7114782333374,322.041015625
